task	k	n	learned	oracle	mean
shelf-place-v3	2	90	0.8111	0.7667	0.8111
shelf-place-v3	4	90	0.7889	0.7889	0.8139
shelf-place-v3	8	90	0.8556	0.8000	0.8278
shelf-place-v3	16	90	0.8778	0.8000	0.8306
