task	k	n	learned	oracle	mean
disassemble-v3	2	90	0.6667	0.6556	0.6944
disassemble-v3	4	90	0.6444	0.6556	0.7028
disassemble-v3	8	90	0.6667	0.6222	0.6958
disassemble-v3	16	90	0.6444	0.6444	0.6986
